id,customer,surface_lsd,products,rig_in_date,start_date,end_date,num_wells,valve_7_1_16,valve_5_1_8,valve_hyd,valve_man,gateway_pods,awc_pods,grease_unit,coil_trees,accumulator,techs,work_orders
248,Whitecap,712,Frac Stacks / Zipper / PPL,45832,45839,45872,4,0,0,0,0,0,0,1,,2,4,
249,Teine,01-06-53-11-W5M,Frac Stacks / Zipper,45815,45818,45843,4,10,12,16,0,4,0,1,,2,4,
250,NUVISTA,16-35-067-06W6 ,Frac Stacks / Zipper / PPL,45848,45851,45858,3,10,9,12,2,8,0,1,,2,3,
251,Veren,12-36-065-04W6,Frac Stacks / Coil Header,45839,45844,45847,1,0,4,4,0,0,1,,,1,2,
252,PARAMOUNT,13-27-038-06W5,Frac Stacks / Zipper / PPL,45845,45851,45876,5,0,0,0,64,5,0,1,,2,4,
253,Whitecap,02-28-064-03W6,Frac Stacks / Coil Header,45842,45850,45880,5,0,0,0,0,0,0,1,,2,2,
254,True Canadian (KEC),01-27-061-24-W5M,Frac Stacks / Zipper / PPL,45848,45853,45873,3,14,3,18,2,3,1,1,,1,,
255,ConocoPhilips,01-24-88-23-W6M,Frac Stacks / Zippers,45853,45865,45888,4,0,0,0,0,0,0,1,,,,
256,NUVISTA,02-36-070-09W6M,Frac Stacks / Zipper / PPL,45878,45882,45895,4,0,0,0,0,4,0,1,,2,,
257,Veren,12-12-066-04W6,Frac Stacks / Coil Header,45899,45904,45930,4,0,0,0,0,4,1,1,,,,
258,Baytex,10-20-04-03W5,Frac Stacks / Zipper / PPL,45884,45887,45912,4,0,0,0,0,3,0,1,,2,4,
259,ConocoPhilips,08-29-88-24-W6M,Frac Stacks / Zippers,45876,45894,45954,12,0,0,0,0,0,0,,,,,
260,Whitecap,808,Frac Stacks / Zipper / PPL,45875,45882,45906,5,0,0,0,0,0,0,1,,2,4,
261,PARAMOUNT,16-30-38-06-W5M,Frac Stacks / Zippers / PPL,45874,45882,45915,6,0,0,0,0,0,0,,,,,
262,PACIFIC CANBRIAM,C-98-D/94-A-5,Frac Stacks / Zipper / PPL,TBD,45909,TBD,9,0,0,0,0,0,0,1,,2,4,
263,WHITECAP,08-05-61-20-W5M,Frac Stacks / Zipper / PPL,45921,45928,45952,4,0,0,0,0,0,0,,,,,
264,Veren,03-30-069-04W6,Frac Stacks / Coil Header,45924,45929,45954,5,0,0,0,0,5,1,1,,2,2,
265,AOC,TBD,Frac Stacks / Zipper / PPL,TBD,TBD,TBD,3,0,0,0,0,3,0,1,,2,4,
266,Nuvista,12-28-71-09-W6M,Frac Stacks / Zipper / PPL,TBD,45908,TBD,8,0,0,0,0,0,0,,,,,
267,Whitecap,662,Frac Stacks / Zipper / PPL,45915,45922,45946,5,0,0,0,0,0,0,1,,2,4,
268,NUVISTA,TBD,Frac Stacks / Zipper,TBD,45946,TBD,3,0,0,0,0,3,0,1,,2,3,
269,Veren,05-17-068-03W6,Frac Stacks / Coil Header,45955,45960,45970,3,0,0,0,0,3,0,1,,2,2,
270,PARAMOUNT,11-01-40-06-W5M,Frac Stacks / Zipper / PPL,45939,45947,45961,3,0,0,0,0,0,0,1,,2,4,
271,Whitecap,714,Frac Stacks / Zipper / PPL,45948,45955,45979,4,0,0,0,0,0,0,1,,2,4,
272,ConocoPhilips,01-32,Frac Stacks / Zippers,45992,46006,46053,9,0,0,0,0,0,0,,,,,
273,Veren,15-35-068-04W6,Frac Stacks / Coil Header,46018,46025,46047,4,0,0,0,0,4,0,1,,2,2,
274,Veren,06-03-065-03W6,Frac Stacks / Coil Header,46018,46025,46056,4,0,0,0,0,4,0,1,,2,2,
275,ConocoPhilips,08-23-88-24-W6M,Frac Stacks / Zippers,46068,46113,46167,6,0,0,0,0,0,0,,,,,
276,ConocoPhilips,09-Apr,Frac Stacks / Zippers,46157,46172,46200,10,0,0,0,0,0,0,,,,,
